segment,stimulus_id,respondent_idx,n_samples,P1,P2,P3,P4,P5,E
molodye_mamy_posle_rodov,rtb2,10,2,0.065135,0.261350,0.261372,0.354425,0.057717,3.078239
molodye_mamy_posle_rodov,rtb3,1,2,0.210425,0.257064,0.058687,0.113709,0.360115,3.156025
molodye_mamy_posle_rodov,rtb3,2,2,0.233377,0.277214,0.178418,0.175592,0.135399,2.702422
molodye_mamy_posle_rodov,rtb3,3,2,0.030717,0.244872,0.256573,0.416219,0.051620,3.213153
molodye_mamy_posle_rodov,rtb3,4,2,0.043555,0.273765,0.110371,0.198115,0.374193,3.585626
molodye_mamy_posle_rodov,rtb3,5,2,0.042127,0.225676,0.143956,0.268471,0.319770,3.598080
molodye_mamy_posle_rodov,rtb3,6,2,0.118844,0.144573,0.062755,0.242516,0.431311,3.722878
molodye_mamy_posle_rodov,rtb3,7,2,0.050766,0.268182,0.170373,0.348005,0.162675,3.303642
molodye_mamy_posle_rodov,rtb3,8,2,0.118798,0.231774,0.063083,0.175898,0.410446,3.527420
molodye_mamy_posle_rodov,rtb3,9,2,0.139167,0.253747,0.180735,0.224884,0.201466,3.095734
molodye_mamy_posle_rodov,rtb3,10,2,0.142732,0.214520,0.042467,0.146390,0.453891,3.554188
molodye_mamy_posle_rodov,rtb4,1,2,0.049673,0.163795,0.163447,0.360458,0.262626,3.622569
molodye_mamy_posle_rodov,rtb4,2,2,0.066148,0.309558,0.104935,0.343034,0.176326,3.253834
molodye_mamy_posle_rodov,rtb4,3,2,0.080750,0.188706,0.107513,0.279934,0.343097,3.615923
molodye_mamy_posle_rodov,rtb4,4,2,0.022097,0.178468,0.210048,0.457276,0.132111,3.498837
molodye_mamy_posle_rodov,rtb4,5,2,0.011233,0.222709,0.204599,0.327951,0.233509,3.549793
molodye_mamy_posle_rodov,rtb4,6,2,0.109501,0.221765,0.300309,0.356197,0.012228,2.939887
molodye_mamy_posle_rodov,rtb4,7,2,0.076558,0.207721,0.202592,0.388703,0.124427,3.276720
molodye_mamy_posle_rodov,rtb4,8,2,0.103830,0.299247,0.105761,0.350186,0.140977,3.125233
molodye_mamy_posle_rodov,rtb4,9,2,0.145715,0.261961,0.126836,0.162529,0.302959,3.215055
molodye_mamy_posle_rodov,rtb4,10,2,0.053426,0.205262,0.299926,0.421105,0.020281,3.149551
muzhchiny_rannee_poredenie,rtb1,1,2,0.155990,0.387159,0.064533,0.324066,0.068251,2.761427
muzhchiny_rannee_poredenie,rtb1,2,2,0.251518,0.357776,0.167939,0.208903,0.013865,2.375821
muzhchiny_rannee_poredenie,rtb1,3,2,0.235039,0.393149,0.172632,0.188964,0.010216,2.346168
muzhchiny_rannee_poredenie,rtb1,4,2,0.216404,0.339774,0.169440,0.240568,0.033814,2.535612
muzhchiny_rannee_poredenie,rtb1,5,2,0.314239,0.392013,0.186435,0.103825,0.003489,2.090311
muzhchiny_rannee_poredenie,rtb1,6,2,0.210014,0.353176,0.125832,0.293903,0.017075,2.554849
muzhchiny_rannee_poredenie,rtb1,7,2,0.211024,0.384789,0.047364,0.260909,0.095914,2.645899
muzhchiny_rannee_poredenie,rtb1,8,2,0.098979,0.221090,0.194757,0.349643,0.135531,3.201658
muzhchiny_rannee_poredenie,rtb1,9,2,0.111607,0.344250,0.227916,0.307822,0.008405,2.757168
muzhchiny_rannee_poredenie,rtb1,10,2,0.092820,0.288044,0.263800,0.334731,0.020605,2.902257
muzhchiny_rannee_poredenie,rtb2,1,2,0.025767,0.176580,0.203974,0.508385,0.085295,3.450861
muzhchiny_rannee_poredenie,rtb2,2,2,0.173858,0.281340,0.056990,0.341637,0.146175,3.004931
muzhchiny_rannee_poredenie,rtb2,3,2,0.016234,0.243912,0.135921,0.422122,0.181810,3.509362
muzhchiny_rannee_poredenie,rtb2,4,2,0.070037,0.275785,0.074365,0.417008,0.162807,3.326763
muzhchiny_rannee_poredenie,rtb2,5,2,0.159555,0.360240,0.114846,0.279894,0.085465,2.771475
muzhchiny_rannee_poredenie,rtb2,6,2,0.037853,0.292609,0.260705,0.390095,0.018737,3.059253
muzhchiny_rannee_poredenie,rtb2,7,2,0.116183,0.286840,0.163145,0.390772,0.043060,2.957686
muzhchiny_rannee_poredenie,rtb2,8,2,0.202867,0.337068,0.225327,0.231064,0.003674,2.495610
muzhchiny_rannee_poredenie,rtb2,9,2,0.139071,0.289824,0.167439,0.312318,0.091348,2.927049
muzhchiny_rannee_poredenie,rtb2,10,2,0.102499,0.289559,0.211759,0.346799,0.049385,2.951012
muzhchiny_rannee_poredenie,rtb3,1,2,0.332000,0.229740,0.109222,0.068102,0.260937,2.696237
muzhchiny_rannee_poredenie,rtb3,2,2,0.228536,0.195745,0.177421,0.075786,0.322511,3.067992
muzhchiny_rannee_poredenie,rtb3,3,2,0.199774,0.376249,0.098367,0.162527,0.163083,2.712895
muzhchiny_rannee_poredenie,rtb3,4,2,0.054045,0.147643,0.205712,0.389706,0.202894,3.539761
muzhchiny_rannee_poredenie,rtb3,5,2,0.128713,0.190161,0.056478,0.164051,0.460597,3.637656
muzhchiny_rannee_poredenie,rtb3,6,2,0.062596,0.212535,0.114553,0.278815,0.331501,3.604090
muzhchiny_rannee_poredenie,rtb3,7,2,0.041581,0.250107,0.234708,0.421328,0.052276,3.192609
muzhchiny_rannee_poredenie,rtb3,8,2,0.297849,0.290089,0.146099,0.130565,0.135398,2.515573
muzhchiny_rannee_poredenie,rtb3,9,2,0.214450,0.222727,0.074818,0.129531,0.358474,3.194853
muzhchiny_rannee_poredenie,rtb3,10,2,0.203561,0.246471,0.077447,0.120410,0.352112,3.171040
muzhchiny_rannee_poredenie,rtb4,1,2,0.044041,0.194836,0.132082,0.532071,0.096970,3.443094
muzhchiny_rannee_poredenie,rtb4,2,2,0.028737,0.129659,0.173659,0.450887,0.217058,3.697871
muzhchiny_rannee_poredenie,rtb4,3,2,0.057085,0.199402,0.210496,0.367311,0.165706,3.385152
muzhchiny_rannee_poredenie,rtb4,4,2,0.194252,0.318863,0.236480,0.240106,0.010299,2.553338
muzhchiny_rannee_poredenie,rtb4,5,2,0.078611,0.231937,0.147164,0.409818,0.132470,3.285598
muzhchiny_rannee_poredenie,rtb4,6,2,0.056473,0.187421,0.196260,0.440808,0.119039,3.378519
muzhchiny_rannee_poredenie,rtb4,7,2,0.274306,0.314212,0.074554,0.127394,0.209534,2.683637
muzhchiny_rannee_poredenie,rtb4,8,2,0.062928,0.121247,0.076358,0.398893,0.340574,3.832937
muzhchiny_rannee_poredenie,rtb4,9,2,0.065985,0.177290,0.151372,0.408376,0.196978,3.493071
muzhchiny_rannee_poredenie,rtb4,10,2,0.070949,0.163000,0.051411,0.380364,0.334276,3.744020
