segment,stimulus_id,respondent_idx,sample_idx,P1,P2,P3,P4,P5,E
razocharovannye_veterany,BL1,3,1,0.354345,0.367383,0.093203,0.109148,0.075921,2.184915
razocharovannye_veterany,BL1,3,2,0.208623,0.301738,0.173021,0.234113,0.082505,2.680139
razocharovannye_veterany,BL1,4,1,0.226426,0.320336,0.211482,0.238356,0.003400,2.471967
razocharovannye_veterany,BL1,4,2,0.268412,0.394879,0.112938,0.194648,0.029124,2.321192
razocharovannye_veterany,BL2,1,1,0.074128,0.168929,0.121269,0.514741,0.120933,3.439424
razocharovannye_veterany,BL2,1,2,0.174376,0.357824,0.157579,0.292195,0.018026,2.621673
razocharovannye_veterany,BL2,2,1,0.036901,0.212605,0.265694,0.438707,0.046093,3.244487
razocharovannye_veterany,BL2,2,2,0.134466,0.356744,0.114671,0.333023,0.061096,2.829539
razocharovannye_veterany,BL2,3,1,0.180578,0.223595,0.112356,0.276831,0.206639,3.105358
razocharovannye_veterany,BL2,3,2,0.127711,0.244976,0.188110,0.215667,0.223536,3.162343
razocharovannye_veterany,BL2,4,1,0.039989,0.269332,0.085754,0.499406,0.105518,3.361131
razocharovannye_veterany,BL2,4,2,0.084950,0.242553,0.056610,0.351563,0.264323,3.467756
razocharovannye_veterany,BL3,1,1,0.260526,0.365822,0.003618,0.202469,0.167565,2.650725
razocharovannye_veterany,BL3,1,2,0.380097,0.345494,0.026421,0.131814,0.116174,2.258474
razocharovannye_veterany,BL3,2,1,0.337089,0.434601,0.044115,0.162168,0.022027,2.097445
razocharovannye_veterany,BL3,2,2,0.357514,0.432337,0.037176,0.102396,0.070576,2.096184
razocharovannye_veterany,BL3,3,1,0.392835,0.385291,0.022227,0.086757,0.112891,2.141577
razocharovannye_veterany,BL3,3,2,0.365687,0.424274,0.012212,0.110371,0.087457,2.129638
razocharovannye_veterany,BL3,4,1,0.333931,0.451857,0.075978,0.124444,0.013790,2.032304
razocharovannye_veterany,BL3,4,2,0.332932,0.421915,0.090708,0.151430,0.003014,2.069680
razocharovannye_veterany,BL4,1,1,0.339207,0.358077,0.182589,0.110481,0.009646,2.093282
razocharovannye_veterany,BL4,1,2,0.348880,0.364888,0.180695,0.103356,0.002181,2.045071
razocharovannye_veterany,BL4,2,1,0.402962,0.348276,0.157079,0.079440,0.012243,1.949726
razocharovannye_veterany,BL4,2,2,0.333946,0.282495,0.084211,0.167006,0.132341,2.481299
razocharovannye_veterany,BL4,3,1,0.356700,0.372760,0.132521,0.124687,0.013332,2.065192
razocharovannye_veterany,BL4,3,2,0.330444,0.321455,0.249394,0.090976,0.007730,2.124093
razocharovannye_veterany,BL4,4,1,0.426451,0.382856,0.134141,0.054570,0.001983,1.822778
razocharovannye_veterany,BL4,4,2,0.398433,0.351709,0.131081,0.038075,0.080702,2.050902
razocharovannye_veterany,BL5,1,1,0.340747,0.443998,0.041468,0.131835,0.041952,2.090248
razocharovannye_veterany,BL5,1,2,0.307236,0.397372,0.120213,0.161229,0.013949,2.177283
razocharovannye_veterany,BL5,2,1,0.362276,0.417625,0.081795,0.116442,0.021863,2.017991
razocharovannye_veterany,BL5,2,2,0.310015,0.423896,0.093196,0.150036,0.022857,2.151823
razocharovannye_veterany,BL5,3,1,0.275287,0.425807,0.045772,0.143548,0.109585,2.386337
razocharovannye_veterany,BL5,3,2,0.379912,0.340091,0.060044,0.057186,0.162766,2.282804
razocharovannye_veterany,BL5,4,1,0.349265,0.432495,0.088857,0.101269,0.028115,2.026473
razocharovannye_veterany,BL5,4,2,0.356192,0.418573,0.125654,0.097158,0.002422,1.971045
